name,lat,lng,category,Status,Area,Amount of waste disposed,Annual capacity,Population served
GREENGAIRS,55.90277106,-3.93263339,Sanitary Landfills,Active,40.0,20500000.0,300000,326400
ROOSEVELT REGIONAL LANDFILL,45.80911919,-120.17995834,Sanitary Landfills,Active,1030.0,54000000.0,3029500,6830038
DENVER ARAPAHOE DISPOSAL SITE,39.6592313,-104.6970033,Sanitary Landfills,Active,182.0,40840103.0,2561809,5116796
COLUMBIA RIDGE LANDFILL,45.63909749,-120.21347523,Sanitary Landfills,Active,283.0,35783633.0,2.050602,3871859
PINE TREE ACRES,42.7559107441343,-82.74765824,Sanitary Landfills,Active,102.0,25852909.0,2000000,9876187
U.S.M.C. TWENTYNINE PALMS DISPOSAL SITE,34.23876984405881,-116.07326030731201,Sanitary Landfills,Inactive,21.5,612000.0,5947,We need your support
NORTH EAST TERRITORIES LANDFILL,22.5440414,114.1679263,Sanitary Landfills,Active,61.0,17739000.0,985500,We need your support
ENSENADA,31.88131117,-116.5577316,Sanitary Landfills,Inactive,7.0,1960000.0,105000,466814
BOWER,-31.5584249,-64.23500061,Sanitary Landfills,Active,120.0,5791872.0,738000,1309536
BORISPOL,50.3061715,30.9315776,Sanitary Landfills,Inactive,6.5,600000.0,80000,55000
DONETSK,47.8769224,37.9216718,Sanitary Landfills,Active,22.0,1700000.0,110000,975959
PRIMORSKYI,47.0878613,37.4890422,Sanitary Landfills,Inactive,12.0,2142000.0,53800,490063
NEWTON COUNTY LANDFILL,40.93154179,-87.34401226,Sanitary Landfills,Active,236.0,27000000.0,2500000,6516922
TAOSHUGANG,29.1266348,111.7439711,Sanitary Landfills,Inactive,14.0,1679459.0,239805,1232182
XINGFENG,23.2646917,113.4854548,Sanitary Landfills,Active,84.0,4440000.0,2482000,12000000
ODAYERI,41.2161766,28.8581657,Sanitary Landfills,Active,286.0,42000000.0,4015000,13483052
KOMURCUODA,41.1450849,29.3707466,Sanitary Landfills,Active,233.0,21000000.0,1825000,13483052
MAVRORAHI,40.8477096,23.0802154,Sanitary Landfills,Active,75.5,2600000.0,400000,1104460
BORG EL ARAB,30.91658471290,29.45503234863,Sanitary Landfills,Active,75.0,5000000.0,500000,5000000
MARIANNHILL LANDFILL,-29.848004934488,30.838934183121,Sanitary Landfills,Active,49.0,850000.0,228125,536644
BISASAR,-29.8167703149,30.978784561157,Sanitary Landfills,Active,44.0,15200000.0,1260000,536644
CHUNGA,-15.3490241587419,28.2688951492309,Sanitary Landfills,Active,2.5,800000.0,80000,1700000
ASTANA LANDFILL,51.216427255321,71.529107093811,Sanitary Landfills,Active,50.4,2000000.0,350000,710000
TEHRAN LANDFILL,35.4716451185922,51.3355064392089,Sanitary Landfills,Active,500.0,40000000.0,2450000,8500000
ENVIRONMENTAL COMPLEX NORTE III C MODULE,-34.5239543249044,-58.6151075363159,Sanitary Landfills,Active,90.0,10500000.0,540000,422830
ENVIRONMENTAL COMPLEX NORTE III B MODULE,-34.5326518141228,-58.6206436157226,Sanitary Landfills,Inactive,83.0,15000000.0,450000,422830
ENVIRONMENTAL COMPLEX NORTE III A MODULE,-34.5334295941105,-58.6148071289062,Sanitary Landfills,Inactive,64.0,10700000.0,500000,422830
FYLI LANDFILL,38.0743455110176,23.6507749557495,Sanitary Landfills,Active,66.0,8500000.0,1700000,3200000
CTR CANDEIAS LANDFILL,-8.1633097297228,-34.9851036071777,Sanitary Landfills,Active,17.0,4000000.0,766500,687688
CADEREYTA LANDFILL,25.6358389540493,-99.9798989295959,Sanitary Landfills,Active,37.0,2000000.0,162000,86445
BETIM,-20.0168934632386,-44.2369008064270,Sanitary Landfills,Active,17.0,544500.0,71715,407003
SAN MARTIN DE LOS ANDES LANDFILL,-40.1303941909066,-71.2190437316894,Sanitary Landfills,Active,7.0,40000.0,10000,23519
ORDZHONIKIDZEVSKY LANDFILL,47.1357898226911,37.6296758651733,Sanitary Landfills,Inactive,15.0,2500000.0,100000,490063
LOS VAZQUEZ SANITARY LANDFILL,-26.8756840382655,-65.2017545700073,Sanitary Landfills,Inactive,18.0,1130000.0,160000,527607
SALTILLO SANITARY LANDFILL,25.4579223669204,-101.053619384765,Sanitary Landfills,Active,32.0,2800000.0,226800,725095
KHELMINTSKY LANDFILL,49.4610954249901,26.9640326499938,Sanitary Landfills,Inactive,9.0,3800000.0,146000,290100
CIUDAD JUAREZ LANDFILL,31.5579129,-106.4951992,Sanitary Landfills,Inactive,3.0,4980000.0,We need your suppo,We need your support
OUJDA LANDFILL,34.5800124275177,-1.94187641143798,Sanitary Landfills,Active,52.0,900000.0,135000,486000
DOUALA LANDFILL,4.04120174802514,9.78195190429687,Sanitary Landfills,Active,63.0,3000000.0,300000,3000000
MPASA LANDFILL,-4.36715437404978,15.5381655693054,Sanitary Landfills,Active,200.0,900000.0,420000,9046000
ABU ZABAL,30.2815280698483,31.3609027862548,Sanitary Landfills,Active,57.0,6100000.0,480000,2479347
SAN JAVIER I,-24.85104370532,-65.37899494171,Sanitary Landfills,Inactive,10.0,975000.0,144400,535303
SAN JAVIER II,-24.8513162957351,-65.3837156295776,Sanitary Landfills,Inactive,12.0,975000.0,144400,535303
COMPLEJO AMBIENTAL ENSENADA,-34.8498139,-57.9636528,Sanitary Landfills,Inactive,60.0,5300000.0,252000,186524
TANGIPAHOA PARISH REGIONAL SOLID WASTE FACILITY,30.687896712076984,-90.55979646742344,Sanitary Landfills,Active,8.9,2635000.0,120000,We need your support
PERGAMINO,-33.9275191,-60.5442028,Sanitary Landfills,Active,16.0,114956.0,29930,104922
SAN NICOLÁS,-33.3243806,-60.2729886,Sanitary Landfills,Active,8.0,490000.0,45000,33305
RÍO CUARTO,-33.1667889,-64.2792889,Sanitary Landfills,Active,40.0,440000.0,73000,144021
FACHINAL,-27.6424655714215,-55.7967334985733,Sanitary Landfills,Inactive,100.0,375000.0,72000,324756
SAN JAVIER III,-24.85415898856,-65.38090467453,Sanitary Landfills,Active,9.0,975000.0,144400,535303
PUENTE HILLS,34.0202080,-118.0097900,Sanitary Landfills,Active,175.2,123000000.0,3140153,We need your support
COMPLEJO AMBIENTAL GONZALEZ CATAN,-34.7867543,-58.6639696,Sanitary Landfills,Active,120.0,13250000.0,402000,1772130
ENVIRONMENTAL COMPLEX NORTE III,-34.5438228657023,-58.6069107055664,Sanitary Landfills,Inactive,65.0,10500000.0,We need your suppo,422830
CUIABÁ,-15.532173807,-56.036710739,Sanitary Landfills,Inactive,14.0,2100000.0,112000,542861
SUDOKWON,37.5772357911111,126.6139984130850,Sanitary Landfills,Active,570.0,65000000.0,5700000,2710579
APEX REGIONAL LANDFILL,36.37665320892,-114.87665176392,Sanitary Landfills,Active,2200.0,50000000.0,2100000,1951269
ROLLING HILLS,40.3626568289873,-75.717062652111,Sanitary Landfills,Active,460.0,10321196.0,718344,1135509
CRANBERRY CREEK,44.4229001662822,-89.867820739746,Sanitary Landfills,Inactive,85.7,4250000.0,We need your suppo,We need your support
HICKORY MEADOWS,44.1055071124845,-88.191869258881,Sanitary Landfills,Active,23.9,3702091.0,612785,We need your support
MORGAN,34.62544167,-87.1009437,Sanitary Landfills,Active,120.0,3659174.0,126000,We need your support
SCOTTSBORO,34.7566421,-85.9189220,Sanitary Landfills,Active,89.0,475000.0,45000,We need your support
VEOLIA ES STAR RIDGE,33.6049931,-86.5222156,Sanitary Landfills,Active,308.74,4822600.0,212116,We need your support
BUBANJ,43.284771,21.888336,Sanitary Landfills,Active,14.0,1082721.0,35000,We need your support
LF BG AKSAKOVO (VARNA),43.2850462,27.8555182,Sanitary Landfills,Active,10.0,1068000.0,We need your suppo,370000
SUBOTICA,46.079350,19.686429,Sanitary Landfills,Active,14.0,695040.0,15100,We need your support
ARANDJELOVAC,44.3420933,20.5351123,Sanitary Landfills,Active,3.0,307694.0,34600,24580
BACKA PALANKA,45.244316,19.438043,Sanitary Landfills,Active,5.0,89800.0,22300,27924
BACKI PETROVAC,45.362192,19.617799,Sanitary Landfills,Active,2.0,15900.0,5300,6063
BECEJ,45.5924101,20.0464484,Sanitary Landfills,Active,5.0,57600.0,11200,We need your support
BELGRADE,44.7853175,20.5953019,Sanitary Landfills,Active,42.0,10158938.0,252900,We need your support
BOGATIC,44.8331167,19.4539894,Sanitary Landfills,Active,3.0,16239.0,4100,We need your support
CAJETINA,43.710668,19.673850,Sanitary Landfills,Active,2.0,98932.0,11500,We need your support
DIMITROVGRAD,43.0260965,22.8120152,Sanitary Landfills,Active,2.0,230549.0,7500,We need your support
EL EMPALME,-41.581882,-73.234276,Sanitary Landfills,Active,3.0,620000.0,150000,We need your support
GLAVNA,45.3112946,19.8430884,Sanitary Landfills,Active,28.0,1574160.0,135300,We need your support
INDJIJA,45.086584,20.048477,Sanitary Landfills,Active,5.28,211200.0,10000,We need your support
IVANJICA,43.5472823,20.2548059,Sanitary Landfills,Active,1.0,86350.0,5800,We need your support
JAGODINA,43.9756169,21.2774094,Sanitary Landfills,Active,5.0,1239652.0,78500,We need your support
KOVACICA,45.118056,20.706944,Sanitary Landfills,Active,1.0,27600.0,5000,6264
KRAGUJEVAC,44.0367457,20.927324,Sanitary Landfills,Active,14.0,1703842.0,73600,147281
KRALJEVO,43.7339532,20.7071889,Sanitary Landfills,Inactive,6.0,652070.0,18800,We need your support
KULA,45.5777857,19.5416756,Sanitary Landfills,Active,7.0,113760.0,26700,We need your support
COFFEE COUNTY,31.510325022369,-85.9970712661,Sanitary Landfills,Active,171.2,1718040.0,438000,We need your support
ASOTIN COUNTY LF,46.3836860763669,-117.109869718551,Sanitary Landfills,Active,30.76,848342.0,48530,We need your support
CEKEND,46.305246,25.379684,Sanitary Landfills,Active,8.0,69000.0,We need your suppo,112000
SEABREEZE ENVIRONMENTAL LANDFILL,29.08887688767,-95.35604953765,Sanitary Landfills,Active,156.2,6279700.0,1213100,We need your support
COVEL GARDENS LF,29.343351671241,-98.655681610107,Sanitary Landfills,Active,194.2,12007000.0,983834,We need your support
TRI-COMMUNITY LF,46.86016,-67.90786,Sanitary Landfills,Active,9.3,734315.0,27800,We need your support
ECOMAINE LANDFILL-ASHFILL,43.640827063069,-70.361616611481,Sanitary Landfills,Active,105.2,900000.0,900000,We need your support
CLINT LF,31.594183,-106.173361,Sanitary Landfills,Active,241.6,4904400.0,475500,We need your support
FLATHEAD COUNTY SOLID WASTE DISTRICT CENTRAL LANDFILL,48.311343310271,-114.344780445098,Sanitary Landfills,Active,32.4,1576515.0,94863,We need your support
JUNIPER RIDGE LANDFILL,44.97946204601,-68.72381687164,Sanitary Landfills,Active,27.5,1800000.0,708000,We need your support
BILLINGS REGIONAL LANDFILL,45.71900472535,-108.550286293,Sanitary Landfills,Active,20.2,5000000.0,225000,174520
BEAVER COUNTY,38.3059,-112.668,Sanitary Landfills,Active,8.1,107648.0,8175,We need your support
MAIA,41.2264576613384,-8.65201234817504,Sanitary Landfills,Active,6.3,57579.0,We need your suppo,969185
VIANA DO CASTELO,41.6459633415305,-8.7651586532592,Sanitary Landfills,Active,14.0,127949.0,We need your suppo,332897
PENAFIEL,41.316296,-8.297542,Sanitary Landfills,Active,5.4,66060.0,We need your suppo,339481
CASCAIS,38.934777001538,-9.28331851959228,Sanitary Landfills,Active,7.0,42951.0,We need your suppo,895148
ÄMMÄSSUO,60.2366157250515,24.5340156555175,Sanitary Landfills,Active,150.0,14000000.0,500000,1000000
GETLINI,56.8859864211379,24.2639923095703,Sanitary Landfills,Active,87.0,12000000.0,600000,892964
KRIZEVNIEKI,56.4030621,27.2900104,Sanitary Landfills,Active,13.0,519999.0,16875,93677
DEMENE,55.749253,26.494750,Sanitary Landfills,Active,10.5,210000.0,10500,186996
KAUDZITES,57.163232,26.948816,Sanitary Landfills,Active,15.0,620700.0,31035,75040
PENTULI,57.274855,21.540111,Sanitary Landfills,Active,30.0,261594.0,13079,73308
KIVITES,56.564573,21.195222,Sanitary Landfills,Active,29.09,398638.0,19931,156133
JANVARI,57.317855,22.560031,Sanitary Landfills,Active,15.0,490000.0,24500,141421
GRANTINI,56.5179254,24.187453,Sanitary Landfills,Active,4.0,78000.0,13000,174265
BRAKSKI,56.659641,23.618426,Sanitary Landfills,Active,5.0,210000.0,35000,174265
DAIBE,57.4543702,25.1086803,Sanitary Landfills,Active,12.0,280000.0,14000,167037
DZILA VADA,56.520393,26.166937,Sanitary Landfills,Active,20.0,792000.0,24000,109530
ZEBRENE,56.5862239,22.8388683,Sanitary Landfills,Active,7.2,180000.0,9000,2070371
COFFIN BUTTE,44.6995621105926,-123.230981826782,Sanitary Landfills,Active,5.0,4500000.0,425717,We need your support
SUNRISE,36.141201,-114.99908,Sanitary Landfills,Inactive,178.0,18000000.0,0,We need your support
KNOTT LF,44.01,-121.255,Sanitary Landfills,Active,52.0,2372845.0,185000,We need your support
ELKO CITY LF,40.83712573152,-115.72195529937,Sanitary Landfills,Active,67.0,962000.0,64193,We need your support
DRY CREEK LANDFILL,42.381562607958,-122.774341106415,Sanitary Landfills,Active,124.0,2000000.0,333238,We need your support
KLAMATH FALLS LF,42.233493,-121.750684,Sanitary Landfills,Inactive,24.0,1.0,64277,We need your support
ST. JOHNS LF,45.614817894202,-122.754492759704,Sanitary Landfills,Inactive,89.0,12000000.0,We need your suppo,We need your support
PAHRUMP LF,36.2466613339503,-115.983653068542,Sanitary Landfills,Active,32.0,25980.0,5420,We need your support
LOCKWOOD REGIONAL LF,39.4951990765092,-119.611930847167,Sanitary Landfills,Active,130.0,25139396.0,1407687,We need your support
NORTHERN WASCO COUNTY LF,45.565445991988,-121.137700080872,Sanitary Landfills,Active,68.0,1600000.0,368713,We need your support
RIVERBEND LANDFILL,45.1624017440529,-123.248748779296,Sanitary Landfills,Active,182.0,2500000.0,434991,We need your support
ROSEBURG LF,43.1874367498845,-123.382472991943,Sanitary Landfills,Active,14.0,1600000.0,82000,We need your support
CERRO COLORADO LF,35.0096118738638,-106.874914169311,Sanitary Landfills,Active,72.0,9499444.0,550000,We need your support
CINDER LAKE MSW LF,35.307,-111.517,Sanitary Landfills,Active,32.9,4580742.0,132949,We need your support
CLOVIS REGIONAL SOLID WASTE FACILITY,34.38523770174,-103.17303657532,Sanitary Landfills,Active,44.0,2611445.0,83321,We need your support
LA PAZ COUNTY LANDFILL,33.944890824778,-114.193696975708,Sanitary Landfills,Active,64.0,454000.0,185433,We need your support
BUTTERFIELD STATION LANDFILL,33.080035372994,-112.280530929565,Sanitary Landfills,Active,279.0,9300000.0,1478091,We need your support
CITY OF GLENDALE MUNICIPAL LANDFILL,33.540428890465,-112.304606437683,Sanitary Landfills,Active,56.0,5000000.0,198372,We need your support
QUEEN CREEK MSW LANDFILL,33.2217977,-111.6482733,Sanitary Landfills,Inactive,24.0,1500000.0,78000,We need your support
SALT RIVER LANDFILL,33.508775,-111.778214,Sanitary Landfills,Active,58.0,3000000.0,122796,We need your support
SKUNK CREEK LANDFILL,33.7117604,-112.12764,Sanitary Landfills,Inactive,283.0,19000000.0,810391,We need your support
PAINTED DESERT LANDFILL,34.999749,-110.337772,Sanitary Landfills,Active,130.0,1500000.0,101790,We need your support
APACHE JUNCTION LF,33.3673808308648,-111.531229019165,Sanitary Landfills,Active,38.0,1000000.0,260225,We need your support
HARRISON CITY LANDFILL,32.1659133468775,-110.792398452758,Sanitary Landfills,Inactive,48.0,2250000.0,We need your suppo,We need your support
LOS REALES LANDFILL,32.1148578341647,-110.882349014282,Sanitary Landfills,Active,161.0,15917000.0,439023,We need your support
TANGERINE LANDFILL,32.41944,-111.1833,Sanitary Landfills,Active,22.0,3200000.0,44631,We need your support
VINCENT MULLINS LANDFILL,32.2409003248576,-110.836772918701,Sanitary Landfills,Inactive,14.0,1320000.0,120000,We need your support
RIO RANCHO LANDFILL,35.2792147334211,-106.664757728576,Sanitary Landfills,Active,40.0,4631372.0,480000,We need your support
RIO RICO MSW LANDFILL,31.5179348719159,-111.023840904235,Sanitary Landfills,Active,10.0,1042941.0,21500,We need your support
GREY WOLF LANDFILL,34.5158570653627,-112.046728134155,Sanitary Landfills,Active,147.0,3000000.0,136153,We need your support
LOWRY LANDFILL,39.650244273349,-104.710521697998,Sanitary Landfills,Inactive,205.0,25725664.0,919337,We need your support
BOULDER LANDFILL,39.9477136243959,-105.199928283691,Sanitary Landfills,Inactive,32.0,4689328.0,297701,We need your support
FOUNTAIN LANDFILL,38.6947549486208,-104.653444290161,Sanitary Landfills,Active,97.0,5218297.0,320833,We need your support
LARIMER COUNTY LANDFILL,40.505078,-105.122846,Sanitary Landfills,Active,72.0,4950386.0,137812,We need your support
MESA COUNTY LANDFILL,39.0125190556368,-108.492329120635,Sanitary Landfills,Active,51.0,8688255.0,183247,We need your support
BROADACRES LANDFILL,38.1361093186075,-104.494357109069,Sanitary Landfills,Active,121.0,393114.0,46624,We need your support
SOUTHSIDE SOLID WASTE DISPOSAL SITE,38.217,-104.713,Sanitary Landfills,Active,114.0,5163653.0,166936,We need your support
CENTRAL WELD COUNTY LANDFILL,40.3504689073493,-104.807338714599,Sanitary Landfills,Inactive,66.0,6246093.0,177708,We need your support
LOMA LOS COLORADOS,-32.9546645267949,-70.7979583740234,Sanitary Landfills,Active,240.0,16300000.0,2190000,We need your support
SANTA MARTA,-33.6972611,-70.79863889,Sanitary Landfills,Active,77.0,6097311.0,583200,1212896
SANTIAGO PONIENTE,-33.5257611,-70.869875,Sanitary Landfills,Active,77.0,5940000.0,540000,We need your support
MARE CHICOSE,-20.3880122,57.6279333,Sanitary Landfills,Inactive,20.0,3600000.0,399488,1286051
NUBARASHEN,40.1049695,44.5459738,Sanitary Landfills,Active,60.0,7500000.0,149100,1280000
GWANGJU LANDFILL,35.0870852,126.888744,Sanitary Landfills,Active,24.4,1400000.0,We need your suppo,We need your support
FORT LEWIS LF No5,47.119438822214,-122.63162612915,Sanitary Landfills,Inactive,72.8,1198910.0,77000,We need your support
HIDDEN VALLEY,47.0940848379301,-122.288131713867,Sanitary Landfills,Inactive,30.4,17425280.0,293708,7300
PURDY LANDFILL,47.391,-122.611,Sanitary Landfills,Inactive,6.0,473243.0,We need your suppo,We need your support
CATHCART,47.868884,-122.1247311,Sanitary Landfills,Inactive,21.0,3258989.0,314600,We need your support
NORTHSIDE LANDFILL,47.727431365453,-117.488994598388,Sanitary Landfills,Inactive,26.3,4000000.0,We need your suppo,We need your support
ACME LANDFILL,38.0232868,-122.0891008,Sanitary Landfills,Active,35.2,10800000.0,19210,We need your support
KELLER CANYON LANDFILL,37.9952157269931,-121.935367584228,Sanitary Landfills,Active,28.7,3500000.0,804848,We need your support
WEST CONTRA COSTA LANDFILL,37.9683577645266,-122.383189201354,Sanitary Landfills,Inactive,11.0,14950000.0,296676,We need your support
UNION MINE DISPOSAL SITE,38.64798079297,-120.82935333251,Sanitary Landfills,Inactive,13.0,1000000.0,1478,We need your support
CUMMINGS ROAD LANDFILL,40.76167,-124.08833,Sanitary Landfills,Inactive,14.0,1825212.0,We need your suppo,We need your support
CALEXICO SOLID WASTE DISPOSAL SITE,32.6778697,-115.5451963,Sanitary Landfills,Active,15.0,500000.0,1541,We need your support
DESERT VALLEY MONOFILL LANDFILL,33.0847099384263,-115.824823379516,Sanitary Landfills,Active,11.0,547000.0,54800,We need your support
BISHOP SUNLAND,37.3294233913036,-118.400001525879,Sanitary Landfills,Active,27.5,250000.0,9985,We need your support
FURNACE CREEK,36.4699323,-116.8529324,Sanitary Landfills,Inactive,8.0,50000.0,140,We need your support
INDEPENDENCE DISPOSAL SITE,36.7886146758935,-118.177034854888,Sanitary Landfills,Active,7.3,100000.0,525,We need your support
LONE PINE DISPOSAL SITE,36.6056409230722,-118.046314716339,Sanitary Landfills,Active,10.5,100000.0,2494,We need your support
SHOSHONE DISPOSAL SITE,35.9707822342588,-116.24469637871,Sanitary Landfills,Active,1.8,15708.0,We need your suppo,We need your support
TECOPA DISPOSAL SITE,35.8505873086821,-116.183252334594,Sanitary Landfills,Active,3.8,48707.0,We need your suppo,We need your support
ARVIN LANDFILL,35.190434233878,-118.909149169922,Sanitary Landfills,Inactive,51.8,4171392.0,71250,We need your support
BAKERSFIELD METROPOLITAN LANDFILL (BENA),35.3475456142598,-118.76049041748,Sanitary Landfills,Active,92.7,6455000.0,466700,We need your support
BORON LANDFILL,34.9902067385754,-117.647609710693,Sanitary Landfills,Active,5.7,458500.0,3000,We need your support
CHINA GRADE LANDFILL,35.4244482698517,-118.929705619812,Sanitary Landfills,Inactive,23.5,3608940.0,318332,We need your support
MAIN BASE LANDFILL,34.956183921086,-117.958359718322,Sanitary Landfills,Active,29.5,300000.0,8928,We need your support
MOJAVE-ROSAMOND LANDFILL,34.9940564927105,-118.139290809631,Sanitary Landfills,Active,10.9,979470.0,11400,We need your support
RIDGECREST-INYOKERN LANDFILL,35.60249748066,-117.73901939392,Sanitary Landfills,Active,36.8,3013520.0,58615,33000
SHAFTER-WASCO LANDFILL,35.511059477216,-119.40640926361,Sanitary Landfills,Active,54.6,3164654.0,141456,We need your support
TAFT LANDFILL,35.2043040986322,-119.452629089355,Sanitary Landfills,Active,34.4,1627135.0,34849,We need your support
TEHACHAPI LANDFILL,35.122927338685,-118.340520858764,Sanitary Landfills,Active,12.8,1649600.0,60150,We need your support
AVENAL REGIONAL LANDFILL,36.0112694759553,-120.116872787475,Sanitary Landfills,Active,49.9,15600000.0,562400,We need your support
HANFORD LANDFILL,36.310491292236,-119.595236778259,Sanitary Landfills,Inactive,29.1,1668000.0,75866,We need your support
EASTLAKE LANDFILL,38.95267595173,-122.601145505905,Sanitary Landfills,Active,12.5,602000.0,47308,We need your support
LINCOLN BLUFF ROAD LANDFILL,40.9077395911111,-96.6381025314331,Sanitary Landfills,Active,68.8,5283000.0,272791,285407
BASS HILL LANDFILL,40.3526274631363,-120.552549362182,Sanitary Landfills,Active,13.0,300000.0,22457,We need your support
WESTWOOD DISPOSAL FACILITY,40.3164668553367,-121.020970344543,Sanitary Landfills,Active,3.6,50000.0,2160,We need your support
ANTELOPE VALLEY PUBLIC LANDFILL,34.5700830705448,-118.153538703918,Sanitary Landfills,Active,50.6,6094095.0,354287,We need your support
AZUSA LAND RECLAMATION COMPANY,34.1159,-117.929,Sanitary Landfills,Inactive,114.5,7900000.0,We need your suppo,We need your support
BKK LANDFILL-PHASES I AND II,34.0355906499193,-117.901668548583,Sanitary Landfills,Inactive,145.7,45700000.0,2227693,We need your support
BRADLEY LANDFILL,34.2398341808407,-118.384809494018,Sanitary Landfills,Inactive,51.0,33000000.0,217546,We need your support
BURBANK LANDFILL No 3,34.2093356028736,-118.312218189239,Sanitary Landfills,Active,19.4,2000000.0,40722,103340
CALABASAS LANDFILL,34.1541120279356,-118.719334602355,Sanitary Landfills,Active,168.0,23410000.0,535539,We need your support
LANCASTER LANDFILL,34.7446804830946,-118.117361068725,Sanitary Landfills,Active,84.6,3392730.0,425726,We need your support
CHIQUITA CANYON LANDFILL,34.4335315621654,-118.647580146789,Sanitary Landfills,Active,109.0,18680000.0,1558288,We need your support
SUNSHINE CANYON LANDFILL,34.3292967312127,-118.51402759552,Sanitary Landfills,Active,146.9,35132654.0,2442576,We need your support
SCHOLL CANYON LANDFILL,34.1571661556727,-118.191347122192,Sanitary Landfills,Active,127.0,27900000.0,416247,We need your support
SAVAGE CANYON LANDFILL,33.9821752238081,-118.0149435997,Sanitary Landfills,Active,41.3,1091000.0,84144,We need your support
LOPEZ CANYON LANDFILL,34.2940620542544,-118.391461372375,Sanitary Landfills,Inactive,36.4,16691000.0,894264,We need your support
ALTAIR LANDFILL,29.5923788160191,-96.483564376831,Sanitary Landfills,Active,63.6,8581378.0,31141,We need your support
DFW RECYCLING AND DISPOSAL FACILITY,33.021116,-96.963317,Sanitary Landfills,Active,127.1,20817174.0,1132100,We need your support
CITY OF DENTON LANDFILL,33.1883494451519,-97.079701423645,Sanitary Landfills,Active,25.5,4900000.0,147838,We need your support
CAMELOT LANDFILL,33.0313332100315,-96.9501399993896,Sanitary Landfills,Active,83.9,7458794.0,388366,We need your support
McCOMMAS BLUFF LANDFILL,32.6816285550663,-96.712657213211,Sanitary Landfills,Active,403.1,30000000.0,1355411,We need your support
HUNTER FERRELL LANDFILL,32.78359445734,-96.9455909729,Sanitary Landfills,Active,56.5,2063900.0,164052,We need your support
CITY OF GRAND PRAIRIE LANDFILL,32.7713986288031,-96.9491529464721,Sanitary Landfills,Active,60.7,2835800.0,162358,We need your support
CASTLE DRIVE LANDFILL,32.9318895678945,-96.5845495462417,Sanitary Landfills,Inactive,61.9,5508137.0,300000,We need your support
SKYLINE LANDFILL,32.549236904818,-96.6805458068847,Sanitary Landfills,Active,116.8,8191000.0,1013036,58586
BLUE RIDGE LANDFILL,29.5611392400072,-95.4489183425903,Sanitary Landfills,Active,317.3,4113900.0,575100,We need your support
